epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1242.67,0.68692,1.01786,0.49799,0.85442,0.97219,0.94473,0.98298,0.71887,0.95829,0.93139,0.97289,0.74202,0.88486,1.00605,0.49268,0.89696,0.0005348,0.0005348,0.0005348
76,1259.13,0.62447,0.88771,0.44696,0.83984,0.97338,0.93243,0.9779,0.72976,0.97338,0.93243,0.97675,0.71831,0.84073,1.01882,0.47817,0.8889,0.000515,0.000515,0.000515
77,1275.18,0.6733,0.9956,0.46857,0.84778,0.9639,0.93243,0.97333,0.71423,0.9639,0.93243,0.97284,0.71181,0.82933,1.03309,0.47889,0.89225,0.0004952,0.0004952,0.0004952
78,1291.88,0.65537,0.93155,0.45069,0.85011,0.94993,0.91892,0.96896,0.71769,0.95848,0.93596,0.97332,0.71586,0.83515,1.04531,0.47518,0.89541,0.0004754,0.0004754,0.0004754
79,1309.13,0.66168,1.07264,0.47197,0.84371,0.98507,0.90541,0.97219,0.71309,0.96823,0.94595,0.97655,0.72111,0.85729,1.05864,0.4709,0.90222,0.0004556,0.0004556,0.0004556
80,1326.23,0.65468,0.95782,0.45603,0.84347,0.96926,0.91892,0.97176,0.7319,0.95829,0.95946,0.97769,0.71652,0.80922,1.05217,0.43602,0.89107,0.0004358,0.0004358,0.0004358
81,1342.38,0.68272,1.01588,0.45804,0.85305,0.98307,0.95946,0.98394,0.73584,0.96905,0.94595,0.97232,0.70743,0.80198,1.02698,0.43965,0.88796,0.000416,0.000416,0.000416
82,1358.96,0.64531,0.99985,0.45665,0.84683,0.97171,0.92824,0.97544,0.74005,0.95756,0.91473,0.9606,0.71106,0.80692,1.01922,0.44508,0.88644,0.0003962,0.0003962,0.0003962
83,1374.53,0.62251,0.96344,0.44935,0.84548,0.9717,0.92801,0.96767,0.74716,0.94355,0.90358,0.95418,0.7087,0.77925,1.04271,0.45095,0.88609,0.0003764,0.0003764,0.0003764
84,1391.47,0.66188,0.99066,0.45961,0.8475,0.97216,0.94385,0.96886,0.75496,0.95824,0.93033,0.97044,0.7172,0.77702,1.02275,0.42868,0.8862,0.0003566,0.0003566,0.0003566
85,1407.23,0.66269,1.0273,0.45138,0.84635,0.97218,0.94452,0.96617,0.74491,0.97218,0.94452,0.96971,0.70386,0.78042,1.04032,0.42985,0.88806,0.0003368,0.0003368,0.0003368
86,1423.06,0.65564,1.04053,0.45695,0.84806,0.94986,0.93243,0.96275,0.72806,0.94986,0.93243,0.95724,0.69755,0.78978,1.06073,0.43608,0.88631,0.000317,0.000317,0.000317
87,1439.29,0.63762,0.94381,0.44276,0.84262,0.95791,0.92262,0.96177,0.7321,0.95791,0.92262,0.95399,0.69768,0.77347,1.02331,0.44481,0.88481,0.0002972,0.0002972,0.0002972
88,1455.7,0.62235,0.95984,0.4333,0.84296,0.98549,0.91786,0.97301,0.72618,0.97098,0.90434,0.95353,0.70764,0.77882,1.04536,0.44439,0.88603,0.0002774,0.0002774,0.0002774
89,1471.02,0.62172,0.92526,0.42863,0.84202,0.98204,0.90541,0.97011,0.72385,0.95272,0.87838,0.95078,0.69994,0.79791,1.04766,0.44235,0.8921,0.0002576,0.0002576,0.0002576
90,1487.01,0.61678,1.00434,0.43566,0.84314,0.95835,0.93272,0.97103,0.7249,0.94456,0.92094,0.9636,0.68382,0.80227,1.02464,0.44605,0.89606,0.0002378,0.0002378,0.0002378
91,1533.97,0.63088,1.0002,0.43524,0.8437,0.94104,0.94595,0.96788,0.72384,0.92759,0.93243,0.96078,0.68245,0.79376,1.04501,0.4507,0.89785,0.000218,0.000218,0.000218
92,1548.58,0.609,1.00814,0.41814,0.83498,0.93361,0.95015,0.96963,0.72816,0.90935,0.94595,0.95409,0.69441,0.789,1.06686,0.43988,0.88924,0.0001982,0.0001982,0.0001982
93,1563.51,0.62087,0.99201,0.42421,0.84165,0.95605,0.88186,0.94651,0.72425,0.97068,0.89474,0.96104,0.70336,0.79164,1.05855,0.44481,0.88346,0.0001784,0.0001784,0.0001784
94,1578.72,0.59383,0.99641,0.42475,0.82908,0.95672,0.89625,0.94682,0.71737,0.97115,0.90976,0.96032,0.71199,0.80663,1.06728,0.45994,0.88539,0.0001586,0.0001586,0.0001586
95,1594.08,0.62093,1.00971,0.42785,0.83943,0.94458,0.89189,0.95023,0.73673,0.95889,0.90541,0.96465,0.71236,0.79589,1.06108,0.44612,0.88512,0.0001388,0.0001388,0.0001388
96,1609.39,0.60336,0.96764,0.41398,0.83602,0.93518,0.94595,0.98124,0.7327,0.92156,0.93243,0.9654,0.70201,0.77688,1.0577,0.43197,0.88521,0.000119,0.000119,0.000119
97,1624.59,0.60471,0.98533,0.41094,0.83861,0.95878,0.94289,0.98278,0.74251,0.94376,0.90717,0.95487,0.71192,0.76648,1.05363,0.42536,0.88585,9.92e-05,9.92e-05,9.92e-05
98,1639.86,0.59977,0.96316,0.41185,0.83574,0.95923,0.95388,0.9855,0.74045,0.94564,0.94036,0.96917,0.71607,0.77974,1.05694,0.4149,0.88598,7.94e-05,7.94e-05,7.94e-05
99,1654.94,0.59447,0.98407,0.4095,0.84199,0.95714,0.95946,0.98596,0.73827,0.94329,0.94595,0.9691,0.72129,0.77898,1.05557,0.41164,0.88465,5.96e-05,5.96e-05,5.96e-05
100,1670.09,0.60815,1.01077,0.41555,0.84024,0.94585,0.94416,0.97825,0.74171,0.94585,0.94416,0.96921,0.72059,0.77741,1.04564,0.40706,0.88425,3.98e-05,3.98e-05,3.98e-05
