epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,990.51,0.52454,0.31957,0.83792,0.93977,0.96706,0.97656,0.80073,0.91079,0.38143,0.9502,0.000412749,0.000412749,0.000412749
154,996.509,0.52276,0.32232,0.83971,0.95644,0.97656,0.98788,0.80161,0.90002,0.37269,0.94672,0.000404498,0.000404498,0.000404498
155,1003.37,0.51065,0.32426,0.83871,0.94547,0.9748,0.97581,0.802,0.89954,0.37211,0.95133,0.000396246,0.000396246,0.000396246
156,1009.03,0.51267,0.31758,0.845,0.95593,0.98419,0.98894,0.80272,0.8988,0.37118,0.94801,0.000387994,0.000387994,0.000387994
157,1015.45,0.48573,0.30775,0.83073,0.95581,0.9831,0.98891,0.8018,0.91623,0.37775,0.96059,0.000379743,0.000379743,0.000379743
158,1022.09,0.50265,0.31449,0.83876,0.95949,0.97772,0.98801,0.81209,0.90062,0.38199,0.9491,0.000371491,0.000371491,0.000371491
159,1028.72,0.51414,0.30998,0.83193,0.94353,0.96094,0.97472,0.80604,0.91224,0.37793,0.95245,0.000363239,0.000363239,0.000363239
160,1035.03,0.5063,0.31836,0.83276,0.94393,0.96183,0.97553,0.80386,0.89412,0.37983,0.94528,0.000354988,0.000354988,0.000354988
161,1041.41,0.51677,0.31913,0.83351,0.94357,0.96222,0.97658,0.80072,0.90207,0.38397,0.94611,0.000346736,0.000346736,0.000346736
162,1047.62,0.49123,0.30066,0.83631,0.95884,0.97803,0.98591,0.79787,0.88892,0.37445,0.95088,0.000338484,0.000338484,0.000338484
163,1054.27,0.50548,0.31056,0.83279,0.95757,0.9826,0.97876,0.79942,0.87217,0.37955,0.93855,0.000330233,0.000330233,0.000330233
164,1060.66,0.51689,0.31214,0.84498,0.9423,0.96684,0.97429,0.80866,0.89385,0.39174,0.94277,0.000321981,0.000321981,0.000321981
165,1067.04,0.53576,0.32345,0.84848,0.95175,0.96875,0.97829,0.80062,0.90823,0.39267,0.95571,0.000313729,0.000313729,0.000313729
166,1073.63,0.51034,0.32253,0.84267,0.94928,0.96875,0.97629,0.79571,0.91026,0.39887,0.95978,0.000305478,0.000305478,0.000305478
167,1079.5,0.494,0.30778,0.83473,0.9439,0.96094,0.97389,0.80451,0.89283,0.39006,0.95422,0.000297226,0.000297226,0.000297226
168,1086.05,0.47447,0.30083,0.82173,0.95209,0.96875,0.98136,0.81184,0.87952,0.37458,0.94401,0.000288974,0.000288974,0.000288974
169,1092.83,0.49398,0.29882,0.83322,0.95074,0.96875,0.97994,0.8078,0.88106,0.3729,0.9411,0.000280723,0.000280723,0.000280723
170,1099.5,0.48928,0.3019,0.83013,0.96008,0.97656,0.98636,0.80908,0.8947,0.37985,0.94558,0.000272471,0.000272471,0.000272471
171,1105.94,0.48998,0.30675,0.83265,0.95893,0.97656,0.98271,0.80642,0.90035,0.3757,0.95112,0.00026422,0.00026422,0.00026422
172,1112.63,0.48319,0.30163,0.82942,0.9572,0.97656,0.98612,0.80916,0.88674,0.37374,0.94878,0.000255968,0.000255968,0.000255968
173,1118.58,0.49074,0.30771,0.83045,0.98918,0.95312,0.98614,0.81337,0.87671,0.37104,0.94712,0.000247716,0.000247716,0.000247716
174,1125.59,0.48533,0.30229,0.82221,0.96559,0.99088,0.98981,0.81148,0.87619,0.37066,0.9484,0.000239465,0.000239465,0.000239465
175,1132.01,0.48471,0.30114,0.83059,0.94836,0.97656,0.97873,0.80728,0.88038,0.37295,0.94477,0.000231213,0.000231213,0.000231213
176,1138.44,0.47734,0.30042,0.82912,0.94347,0.96869,0.97769,0.81221,0.88747,0.39192,0.94369,0.000222961,0.000222961,0.000222961
177,1144.73,0.47793,0.29997,0.83019,0.94317,0.96583,0.97407,0.81915,0.88245,0.39452,0.94382,0.00021471,0.00021471,0.00021471
178,1151.7,0.48566,0.30227,0.83587,0.95059,0.97459,0.98594,0.81204,0.89664,0.39154,0.94777,0.000206458,0.000206458,0.000206458
179,1158.11,0.46721,0.29062,0.83161,0.95733,0.98268,0.98909,0.79712,0.90588,0.39407,0.94968,0.000198206,0.000198206,0.000198206
180,1164.4,0.47907,0.29621,0.8291,0.95689,0.98273,0.98889,0.80068,0.89532,0.38237,0.94765,0.000189955,0.000189955,0.000189955
181,1171.13,0.45393,0.28761,0.82152,0.9573,0.98281,0.98917,0.80779,0.88545,0.37929,0.94563,0.000181703,0.000181703,0.000181703
182,1177.4,0.47316,0.29357,0.83084,0.94885,0.97491,0.98144,0.81814,0.88689,0.37767,0.94898,0.000173451,0.000173451,0.000173451
